pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
Sleep and period fatigue practical tools|Sleep and Period Symptom Summary|sleep-and-period-symptom-summary|lead-magnets|tofu|doctor-prep;sleep-tracker;cycle-change-tracker|sleep and period|visit summary|One-page summary that turns two to three cycles of sleep, fatigue, night waking, cramps, mood, bleeding days, and daytime impact into a clinician-ready pattern without diagnosing insomnia, PMS, PMDD, or perimenopause|ACOG PMS; NHLBI sleep diary; MGH PMDD overlap caution if used; no diagnosis or treatment advice|/resources/symptom-guides/period-sleep-disruption;/free/period-sleep-log;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Sleep and period fatigue practical tools|Period Sleep Disruption Visit Prep|period-sleep-disruption-visit-prep|lead-magnets|mofu|doctor-prep;sleep-tracker;privacy-conscious-user|period sleep disruption visit prep|visit prep checklist|Visit-prep checklist for sleep changes around a period, with timing, daytime function, mood symptoms, pain, bleeding, pregnancy questions if relevant, medicines already used, and what to ask without care directives|ACOG PMS; NHLBI sleep diary; Office on Women's Health PMDD trouble sleeping if used; no treatment protocol|/resources/symptom-guides/period-sleep-disruption;/free/period-sleep-log;/free/pmdd-tracking-kit;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Sleep and period fatigue practical tools|Sleep Cycle Data Privacy Checklist|sleep-cycle-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;sleep-tracker;cycle-change-tracker|sleep cycle data privacy|privacy checklist|Checklist for deciding where to store sleep, fatigue, mood, night sweat, wearable, alarm, calendar, export, portal, screenshot, backup, and shared-device data tied to menstrual cycles|FTC Flo 2021; FTC Health Breach Notification Rule; HHS HIPAA consumer app context; NHLBI sleep diary context; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/resources/symptom-guides/period-sleep-disruption;/free/period-sleep-log;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Cognition and period focus practical tools|Brain Fog Before Period Tracker|brain-fog-before-period-tracker|lead-magnets|tofu|cycle-change-tracker;focus-tracker;doctor-prep|brain fog before period|tracker worksheet|Cycle-linked tracker for brain fog before a period, timing, sleep, mood, pain, work or school impact, memory slips, and visit questions without diagnosing PMS, PMDD, ADHD, anemia, thyroid disease, long COVID, or perimenopause|ACOG PMS concentration problems; Office on Women's Health PMDD trouble thinking or focusing; DataForSEO period brain fog 720 US searches and low difficulty; no diagnosis or treatment advice|/resources/life-stage-guides/signs-your-period-is-coming;/resources/symptom-guides/luteal-phase-symptoms;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Cognition and period focus practical tools|Period Brain Fog Notes|period-brain-fog-notes|lead-magnets|tofu|cycle-change-tracker;focus-tracker;privacy-conscious-user|period brain fog|notes worksheet|Plain notes sheet for brain fog during or before a period, with cycle day, task impact, word-finding or memory notes, sleep, cramps, mood, and optional care questions without broad reassurance or cause claims|ACOG PMS problems concentrating; DataForSEO period brain fog 720 US searches; no cause claim|/free/premenstrual-symptom-tracker;/resources/symptom-guides/cycle-fatigue-tracking;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Cognition and period focus practical tools|Can't Focus Before Period Work Sheet|cant-focus-before-period-work-sheet|lead-magnets|tofu|cycle-change-tracker;focus-tracker;work-school-planner|can't focus before period|work sheet|Work and school planning sheet for focus changes before a period, task load, meeting load, deadlines, privacy boundaries, and questions to ask without legal advice or accommodation guarantees|ACOG PMS concentration problems; Office on Women's Health PMDD trouble thinking or focusing; DataForSEO period brain fog cluster; no legal or school accommodation guarantee|/free/premenstrual-symptom-tracker;/free/pmdd-tracking-kit;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Cognition and period focus practical tools|Forgetful Before Period Memory Log|forgetful-before-period-memory-log|lead-magnets|tofu|cycle-change-tracker;focus-tracker;doctor-prep|forgetful before period|memory log|Memory-slip log for late tasks, missed items, word-finding, appointments, sleep, mood, pain, bleeding timing, and visit questions without diagnosing cognitive decline or giving productivity protocols|ACOG PMS concentration problems; NIMH ADHD inattention context if ADHD is mentioned; no cognitive diagnosis|/free/premenstrual-symptom-tracker;/free/reproductive-visit-prep-kit;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Cognition and period focus practical tools|ADHD Worse Before Period Notes|adhd-worse-before-period-notes|lead-magnets|tofu|cycle-change-tracker;focus-tracker;doctor-prep|adhd worse before period|notes worksheet|Cycle-timing notes for people who already have or suspect ADHD and notice harder focus before a period, including inattention, task switching, sleep, mood, medicine questions for a clinician, and baseline days without medication dosing advice|NIMH ADHD inattention symptoms; ACOG PMS concentration problems; DataForSEO ADHD and period 210 US searches; no medication or diagnosis advice|/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/pmdd-symptoms-vs-pms;/free/premenstrual-symptom-tracker;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cognition and period focus practical tools|Work School Before Period Impact Log|work-school-before-period-impact-log|lead-magnets|tofu|work-school-planner;cycle-change-tracker;privacy-conscious-user|before period work school impact|impact log|Impact log for work or school changes before a period, focus, attendance, deadlines, communication load, care tasks, and privacy-safe summaries without legal advice, employer claims, or school policy claims|ACOG PMS daily-life impact; Office on Women's Health PMDD daily impact; no accommodation guarantee|/free/premenstrual-symptom-tracker;/free/pmdd-tracking-kit;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/free/reproductive-visit-prep-kit;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Cognition and period focus practical tools|Cycle Focus Visit Summary|cycle-focus-visit-summary|lead-magnets|mofu|doctor-prep;focus-tracker;cycle-change-tracker|cycle focus visit summary|visit summary|One-page visit summary for two to three cycles of focus, memory, sleep, mood, pain, bleeding timing, daily impact, and questions without diagnosing PMS, PMDD, ADHD, anemia, thyroid disease, long COVID, or perimenopause|ACOG PMS concentration problems; Office on Women's Health PMDD trouble thinking or focusing; NIMH ADHD basics if referenced; no diagnosis|/free/premenstrual-symptom-tracker;/free/period-sleep-log;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Cognition and period focus practical tools|Focus Mood Cycle Data Privacy Checklist|focus-mood-cycle-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;focus-tracker;cycle-change-tracker|focus mood cycle data privacy|privacy checklist|Checklist for deciding where to store focus, memory, mood, ADHD, work or school impact, wearable, calendar, portal, screenshot, export, backup, and shared-device data tied to cycles|FTC health apps tool; FTC app privacy guidance; HHS HIPAA consumer app context; no privacy or legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Period pain location practical tools|Period Back Pain Tracker|period-back-pain-tracker|lead-magnets|tofu|period-pain-tracker;doctor-prep;cycle-change-tracker|period back pain|tracker worksheet|No-diagnosis tracker for back pain before or during a period, pain location, timing, bleeding day, cramps, bowel or bladder context, daily impact, and visit questions without relief or treatment advice|ACOG dysmenorrhea; MedlinePlus period pain; DataForSEO period back pain 5400 US searches; no treatment protocol|/resources/symptom-guides/cramps-but-no-period;/resources/condition-guides/uterine-pain-guide;/free/period-pain-cramp-diary;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period pain location practical tools|Lower Back Pain During Period Log|lower-back-pain-during-period-log|lead-magnets|tofu|period-pain-tracker;doctor-prep;cycle-change-tracker|lower back pain during period|pain log|Location and timing log for lower back pain during a period, cramps, flow, leg or hip spread, bowel or bladder notes if present, and care questions without diagnosis or heat/medicine advice|MedlinePlus period pain; Mayo Clinic menstrual cramps appointment prep; DataForSEO lower back pain period 5400 US searches; no treatment advice|/free/period-pain-cramp-diary;/app-guides/floriva-for-gynecologist-prep;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period pain location practical tools|Leg Pain During Period Notes|leg-pain-during-period-notes|lead-magnets|mofu|period-pain-tracker;doctor-prep;cycle-change-tracker|leg pain during period|notes worksheet|No-diagnosis notes for leg pain during a period, side, location, spread from back or pelvis, cramps, flow, numbness or weakness if present, and clinician questions without sciatica or endometriosis diagnosis|ACOG dysmenorrhea; MedlinePlus period pain; DataForSEO leg pain during period 4400 US searches; no diagnosis|/free/period-pain-cramp-diary;/resources/guides/period-tracking-endometriosis;/app-guides/floriva-for-endometriosis-tracking|consolidated-2026-07-06
Period pain location practical tools|Hip Pain During Period Log|hip-pain-during-period-log|lead-magnets|mofu|period-pain-tracker;doctor-prep;cycle-change-tracker|hip pain during period|pain log|Plain log for hip pain during a period, side, front/back/outer hip location, back or leg spread, cramps, bleeding day, movement context, and visit questions without musculoskeletal diagnosis or exercises|MedlinePlus period pain; ACOG dysmenorrhea; DataForSEO hip pain during period 1900 US searches; no exercise or treatment advice|/free/period-pain-cramp-diary;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/privacy-in-practice/lock-down-period-data-on-your-phone|consolidated-2026-07-06
Period pain location practical tools|Rectal Pain During Period Notes|rectal-pain-during-period-notes|lead-magnets|mofu|period-pain-tracker;endometriosis-tracker;doctor-prep|rectal pain during period|notes worksheet|No-diagnosis notes for rectal pain during a period, bowel movement timing, bleeding day, pelvic pain, sex pain if shared, bladder symptoms if present, and visit questions without diagnosing bowel endometriosis or giving bowel advice|ACOG endometriosis bowel pain; Office on Women's Health endometriosis bowel symptoms; DataForSEO rectal pain with period 1300 US searches; no diagnosis or treatment advice|/resources/condition-guides/vaginal-pain-during-period;/free/period-pain-cramp-diary;/free/endometriosis-tracking-kit;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period pain location practical tools|Pain Down Leg During Period Map|pain-down-leg-during-period-map|lead-magnets|mofu|period-pain-tracker;doctor-prep;cycle-change-tracker|pain down leg during period|pain map|Body-map worksheet for pain that spreads from pelvis, back, hip, buttock, or thigh during a period, with side, path, timing, weakness or numbness if present, and care questions without nerve diagnosis|MedlinePlus period pain; ACOG dysmenorrhea; DataForSEO leg pain period cluster; no sciatica diagnosis or treatment advice|/free/period-pain-cramp-diary;/app-guides/floriva-for-gynecologist-prep;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
